userName,score,at,content,app_name
Admin SPEAK4U,5,2024-05-06 12:25:26,"I've always been impressed with the convenience of shopping on Lazada and the fast delivery times. The website is user-friendly and makes it easy to find what I need. One area for improvement could be the organization of product listings. Sometimes it can be overwhelming to sift through numerous options, especially when searching for specific items. Implementing better filters or sorting options could greatly enhance the shopping experience and make it even more efficient for customers.",Lazada
Kevin Oshaughnessy,1,2024-05-06 12:25:16,Well I would like to open up a business but so far when I go to check I order one item two months ago and it still hasn't arrived I can't sell merchandise I get from you and 2 months later I still don't see anything that's when I have to go deal with your competition,Alibaba
krisna ardiansyah,1,2024-05-06 11:47:12,"I don't understand why shipping cost rise more than 50% for the Banyumas area (idk about other area). It used to be charged around Rp 16k from Jakarta to Banyumas, and now it costs Rp 25k. The increase is too much",Lazada
Lim Choon Hao,1,2024-05-06 11:38:44,"Just changed to Samsung A55. Already set permission to access it, but the app is still unable to read all the images from the gallery to post reviews on the product. (To Dev: English, please)",Lazada
JZ09 YBI,5,2024-05-06 10:59:13,"When I first used it, I liked this application, but after I searched my name on Google, I could see my review that I had written after buying goods on Bukalapak, after that I never bought goods using this application again. To check the veracity of my review, you can do the same thing on Google.",Bukalapak
Elok Anugrah,3,2024-05-06 06:01:47,Uncomfortable with notification sound,Blibli
Meneah Blue Miliognette,1,2024-05-06 03:02:37,"Lazpaylater always decline. If not declined, frozen. I didn't do anything, was just ordering some items, but the lazpaylater declined. Lol",Lazada
Andrew Store,5,2024-05-05 15:57:48,simple and best application for online shopping.,Blibli
Stefan Aris Djaya,5,2024-05-05 15:57:16,"So far, much better than tokped. Although looks and search engine kind of hectic.",Shopee
El vis,5,2024-05-05 14:10:41,Easy and simple,Zalora
casey,3,2024-05-05 11:57:02,"When I search for something it's usually specific, but your search automatically changes my keywords to other words and makes my search redundant. Please don't do that, it's very annoying and defeats the purpose of a search function!",Zalora
mr. nobody,4,2024-05-05 11:42:54,"is there any option to change the font size? it's too thin and small, not comfortable to read for long period of time.",Shopee
Anaenyi Siwito,5,2024-05-05 10:44:18,"The Alibaba thing is nice and you can tell them whatever you want like a suit, spider man comic book anything even a PS5 controller to Xbox I love the app but it takes time to get where are as it says better than never omg ❤️❤️❤️❤️❤️😹😹😍😍😍😍😍😍🥲✅✅😍✅🥰💯🤩🤩🤩🤩🤗🤗🤑🤑🤑🤑",Alibaba
swagata dey,3,2024-05-05 09:14:49,They can change in shoping i have to buy 2. Pieces in next update they have to give us power to how many pieces we want,Alibaba
FDi (Zapp21),1,2024-05-05 07:40:45,"""Search"" is almost useless due to your 'algorithm'. When I reported a product, you should avoid showing it to me already. I should be able to black list stores to avoid stores that I don't trust because they keep coming to my searches result even if they are not relevant to what I'm searching! I'm searching for an ""RTX 2060"" and ""i5-13490"", but the results are all ""RX 590"" in the first 30 products, the keyword that I used to search ""5 searches ago"". That's stupid!",Lazada
Hanif Kamal,1,2024-05-05 04:51:38,"Ads are horrible, made the app unusable. I've only used the app for 5 minutes and i got a non skippable 3 minute ads, all the time, everytime. Useless app",OLX
Christina -,4,2024-05-05 04:34:54,Good app with many free shipping items without voucher compared to shopee. But it is really annoying that we automatically receive promotional messages from sellers we do not follow and have to manually turn off and delete each chat. This wastes time. Please add a function for us to not receive that automatically.,Lazada
Aubrey Russelle Cortez,2,2024-05-05 03:39:07,"The live chat with your customer service is not helpful. I was very dissatisfied with this and no concrete solution in all the conversation I had. Also, no progress in reporting concerns.",Lazada
Eric Chow (eric),3,2024-05-05 03:12:12,"Please optimize app for Foldables. On a normal camdy bar phone screen, o ecan see how items to be display. On iphone 15 plus, you can see 6 items per page. On a Samsung zfold 5, you can only see 2 items per page.",Lazada
Hopeton Robinson,5,2024-05-05 01:08:31,If only i can access a business here. Its truly a wonderful thing to shop what i need anytime anywhere.,Alibaba
"Sandra Joy Earlene Mcdonald,Reynolds",5,2024-05-05 00:27:51,Its about time someone got there head out of there booty! I just started using the app but the prices are sick! Excuse me while I finish checking it out!,Alibaba
Leensey L.,2,2024-05-05 00:03:33,"The search bar got worse. Before, the home page search bar returns irrelevant results. Now, even the search bar within shops is returning unrelated results. How will I find what I want to buy now? Why does it keep getting worse? I already tried deleting cache and clearing data, yet this still happens. Very disappointing.",Lazada
Mario Daniel Rodriguez,1,2024-05-04 23:36:58,why is it that even when different items comes from the same seller in a single purchase the shipping fee is counted as how the items are. ill just order from shopee better offers and shipping discounts,Lazada
Mark M,1,2024-05-04 22:36:55,"Endless pick motorcycle, bus, light picture games. Useless app and website not working either. Guess no longer shopping lazada. Uninstalling.",Lazada
Nitha Ani,5,2024-05-04 19:26:50,Very good to use ZALORA ONLINE SHOPPING ...,Zalora
Alex M Roman,1,2024-05-04 11:26:01,"Horrible!!! Stay away from this application there are many scammers sellers trying to make easy money online. The customer support is awful and trust me, no one will help you when you have a problem.",Lazada
Yudhi Noviandy,5,2024-05-04 09:10:59,"Overall experience is improving compare to before. Pls help to improve in the field for ""courier tips"". Pls make it more ""eye catching"", so we can give the tips to the good courier. Thx.",Shopee
michael yohanes,1,2024-05-04 06:34:13,"Worst ecomm in Indonesia, Totally rubbish for its internal coordination. I've tried it once and instantly regret it. Made a purchase and fully paid. Ready to pick since Apr 30th, waited for 4days and item wasn't picked by JNE from seller yet. Sent some complaints to blibli, but didn't got any solution. Poor internal coordination and even til now they stilll not giving any resolution, refund or even courier pickup rescheduling. Edit 1: the reply is an example of ignored ""sent some complaints""",Blibli
50 Pence,1,2024-05-04 05:35:21,Constantly sending ads.. so many I turn off notifications and miss my deliveries. I feel sorry for the drivers. I'm in you ap trying to buy stuff and you're slowing me down. I ask a question to buy stuff in a seller chat but I have to scroll down all the ads to find the answer. Terrible. Lazada is so greedy. Terrible business practices. I hope Amazon puts you out of business - and I hate Amazon,Lazada
Kevin Gamuna,2,2024-05-04 05:25:41,I switched to shoppee apps because here you only missed the delivery rider's call once. there is no more extension for tomorrow. I still need those items.. that happened to me three times. because I'm busy at work,Lazada
Chris,1,2024-05-04 05:11:38,"App is super slow and I can't add anything to cart, pointless",Alibaba
fiza zaraa,5,2024-05-04 04:55:31,I love Lazada it helps you shop online and the experience is just so great you can choose lots of items you want to buy and there's plenty of variations!,Lazada
walter mccaffrey,2,2024-05-04 02:44:43,"They need to change their search engine capabilities because more than half of my searches never come up. if I go to another app, I won't mention names, almost 100% results",Lazada
Chee How Chong,1,2024-05-04 02:38:13,"The Lazada delivery simply dropped the item on the floor when no one was around, even if they saw a dog around. The items was claimed to be delivered but went missing at the end. They rejected the refund too. The service used to be good but it is getting very poor nowadays. Better consider other service vendor.",Lazada
NLD Catalan,1,2024-05-04 00:43:17,This app glitches a lot especially with the games. Also it has left several items I ordered and PAID for in LIMBO.. not delivered but can't be cancelled or refunded,Lazada
Gattiek Thanor Kuach,5,2024-05-03 20:47:52,According to my opinion in alibaba it connected me with more information about the business with different types of products with a different price and different colours and styles that bring my attention to be a subject for buying and later changes will come to my mind and my door until I achieved my goal of success throughout my country and different people in the world but I have a problem of how can I pay the money when I am in need to get some items ?that is why I am sending this to you tha,Alibaba
Ian Hibbs,5,2024-05-03 18:43:46,"Absolutely AMAZING site and app ,all you need or ever wanted and then some",Alibaba
My YouTube,3,2024-05-03 14:13:30,When you make review it shows in history but not on the product/sellers page. i have report to lazada 6/7 times and lazada support cant fix it. every single review does not show since about last week.,Lazada
Ash Lee,4,2024-05-03 13:43:36,"So I reached out to their customer services, which was so hard to do in app btw and they tracked my order which was on the way back to the sender but they did however gave me a 50 php voucher for the issue I experienced, though 20 php short of what I already spent on that order with lazrewards. But seriously, they should ask for a confirmation on the buyer's part, it's kinda weird that your rider can just ask for a cancellation on your behalf. And this will reflect poorly on me next time I order",Lazada
Ferdinand,4,2024-05-03 11:02:24,I have using this app ever since it started but Im still not 100% confident with the stores since I have still experiencing scam from the sellers ...,Lazada
Julia Brilliant,1,2024-05-03 08:00:40,Never been so confused about discount vouchers. The app still showing expired codes...,Zalora
Mohammed Awal Sani,4,2024-05-03 05:14:40,The features is good and everything is explain in details,Alibaba
Candy Marvin,1,2024-05-03 05:05:25,I have down loaded this app and the first thing it ask is what country I am in - well the U.S. is not there and you can't go any further. I say if someone here in the U.S. can't get into the app you should not advertise it.,Lazada
Norman Lindsay,5,2024-05-03 04:59:31,Very easy to use and payment options are numerous. Vast number of items for sale giving the buyer a great choice. Some of the sellers don't give full details of items for sale but can be contacted by chat for any clarification needed. Also no import taxes to pay. This is my go-to app here in Indonesia,Bukalapak
Aulia Bintang Giritirta,1,2024-05-03 04:27:33,"delete courier recommendation option, too slow than other courier.",Tokopedia
Laura Cox,5,2024-05-03 03:43:36,I am enjoying observing and searching all the varieties of everything.,Alibaba
Jacks Saragi,5,2024-05-02 23:31:05,good but there is still have a more improvement,Blibli
Dephney Wahendaga Sasi,5,2024-05-02 23:24:09,Fast and easy way of purchasing products outside of the country.,Alibaba
Shallow Sea,1,2024-05-02 23:10:47,"I will uninstall this app after my order. There's a pop-up adds everytime in my home screen about lazada advertisment, even I already disabled the notification",Lazada
Trevor Singh,1,2024-05-02 16:31:13,"Shipping costs are ridiculous, I use other sites such as wish, Temu and Ali express and their shipping from China is considerably cheaper for similar goods",Alibaba
Ian S,1,2024-05-02 16:04:23,User unfriendly. The interface is a mess. Lots of ads. It's hard to find items. And it is very difficult to actually buy something in your basket.,Lazada
Jade,1,2024-05-02 15:43:52,"This is a spammer app it always pops notification randomly and frequently, its super annoying.",Lazada
Kimchicrew,1,2024-05-02 12:38:53,Don't buy products over 2 million vnd at the site. They will refuse to refund even if you have a defective item. 6 years customer leaving and not coming back. Customer support is terrible and the manager is useless. Time to move to shopee.,Lazada
ravien bob,1,2024-05-02 12:08:29,"My order was cancelled for unknown reason(maybe missed order verification despite clicked the confirm in the chat) and system is so bad, too many activity suspicions probably like when logging an account into another device(s), etc., can't lazada people comprehend/consider the need of another devices for a single account to log into?, with these and alike, sale Vouchers get wasted like lazada and such really don't want to give them to begin with and yet continuing ads(false and misleading ads).",Lazada
David,1,2024-05-02 10:01:09,"Be careful with their discount trap, they'll put best possible discount for your order. after you bought it, they'll cancel your order, and you basically need to refund your money back to your bank while they charge you fees for your order and they collect that, and they won't even tell you wth is wrong with your order, what is the cause of problem.",Tokopedia
Khevin Ortiaga,1,2024-05-02 09:58:28,The shipping fee costs MORE than the item. e.g. i checked out an item that is priced at 298 pesos but the shipping fee is 420 pesos almost TWO TIMES the price of the item and the seller isn't even overseas because they are in the same country as i am.,Lazada
Gabriel II Lagumbay,1,2024-05-02 08:56:45,Seller shipped a low-quality item far from what was advertised. Return/refund guarantee is trash. I returned the item but refund was not processed. Lazada does not even care about buyers since there is No proper customer support to help you. Just a bunch of useless AIs.,Lazada
Exilia Rosechild,3,2024-05-02 07:37:13,"The pinpoint that I set for my home is always miss. I've tried many time to correct it, but it still gave me a missed one. Please, fix the system so that it can set an accurate pinpoint so that the courier who deliver our packages can deliver it without a problem.",Tokopedia
Eugene Mar Sapitan,5,2024-05-02 06:41:08,"Excellent, never experience delay for my orders. Recently I was able to access the lazada pay later and it's amazing. There's a lot of options for me now it keeps getting better. I'm so happy and I will continue to use this app.",Lazada
Ricky Arta (NadhifRicky25),5,2024-05-02 03:36:07,"Best app to buy the stuff we need, The only cons is when I search for an item, especially a specific item, it shows various random things that ISN'T specific or relate to that stuff, that's the flaw we want to fixed. But other than that, being a Tokped user for quite a while, 5/5.",Tokopedia
Mythicalistic08,2,2024-05-02 00:55:21,"Fix your notification Lazada, even I turned off the notification it keeps popping up on my screen (Infinix SMART 5) like I have an annoying pop up. I uninstalled it anyways.",Lazada
Precious Castro,5,2024-05-02 00:40:57,Really luv this app but I hope you can add a feature where we can chat with riders? it would help alot since not everyone have load to text them in number ^^,Lazada
Henry Z,3,2024-05-01 18:30:10,"Please fix these problems: The Font used is so thin it hurts my old eyes, couldn't read products' description after sometime, not friendly for eyes. The apps too will be freezed after sometime while browsing products, seems it consume too much memory compared to similar other apps.",Shopee
Adamsyah Haryo,1,2024-05-01 15:55:12,"Need an account just for searching a product, I don't want to give this app my data. The product that showed on result is just the same seller show up again and again just to make the product doesnt look too empty just to make me scrolling endlessly, sobannoying",Shopee
Richard Woon,1,2024-05-01 15:10:30,Very bad when you need to return defective products. Lazada will make it difficult with a lot of conditions to be met. Better go elsewhere unless you are prepared to absorb products that are defective or wrong item. They have an internal department that spoils all the fun on online shopping and make buying online miserable. I don't know if the CEO is aware of what they are doing.,Lazada
Ida Sipahutar,5,2024-05-01 14:47:26,"Good application... convenient, easy to use, give all ingormation needed about my transaction n current status of my purchasing.",Shopee
Miralona Punzalan,5,2024-05-01 12:59:56,I am very grateful for that working properly because they're are blessed with our team working having great successful business dell for our customers who want them all designed for feel comfortable using them like better best qualities in all types product model's.thank you lord God to give us all my prayers are greatest blessing with all team members...,Alibaba
Uncle Sylus,5,2024-05-01 11:37:44,Best wishes for this app it's very nice and easy to use and they also sell at an affordable price,Alibaba
dark vampire,1,2024-05-01 09:16:48,0 star...i've got a complain but lazada can't provide any solution about scammers...and when i tried to contact them can't reach them..if we order thru lazada there must be a notification from to ship or to recieve or to review but nothing..we ricieved a parcel having my name and adress but i can't locate it cause it didn't appear in my lazada account,Lazada
Arianne Abacan,2,2024-05-01 08:57:26,"I can't open my account and automatically end up just making another account, so now, I have different account with my email, phone number, socials media account.",Lazada
Zoltan Dusa,1,2024-05-01 07:41:28,"Update 2 star rating to 1 star rating. First, they deactivatedaccount and said I violated terms of service. I spoke to 10 agents none could tell me what I did(all I ever did was buy, never even return). New problem. I understand apps gather personal information and tailor their ads to you search history. I've NEVER searched lingerie or sex toys, yet, ALL my Facebook ads are inappropriate. I've uninstalled, reinstalled, cleared history on EVERYTHING, cleared cache. Only sex toy ads🤬",Lazada
Kyo CerA,1,2024-05-01 07:36:21,app full of scams and terrible customer service. beware of the seller rating before buying because they back the sellers even if they are scammers.,Lazada
Ani Ani,5,2024-05-01 07:33:47,"I love using shopee apps, easier to use, complete products items and lot of vouchers discount",Shopee
AL Farrell,5,2024-05-01 06:56:52,"Near perfect for both dealers and customers. It works efficiently to provide a generally good online shopping experience. One suggestion. It is often difficult to judge the size of an item from the pictures on Lazada. In addition to measurement figures and diagrams, how about requiring all dealers to place, for example, a matchbox or pen beside the item in their picture to aid in judging sizes?",Lazada
Tasrif Kusuma,1,2024-05-01 06:46:54,"Promo 25k using danamon credit card. When checking out, the app says cannot use this promo. Stop wasting my time.",Tokopedia
ahsan az,1,2024-05-01 06:08:08,"There is a service fee every time a purchase is made. They already cut the money that should go into the seller, yet they charge service fee to buyers.",Shopee
intan meliana,2,2024-05-01 05:08:32,"It was nice online shop app, I almost checked out every day and recommended what I bought to my friends, but it's so laggy and the discounts are changed. Even it changes into 50% up to 50k it's still useless cause it's hard to get it. As a student shopee is an alternative to get what we need with low price. Can shopee change to what it used be?",Shopee
TJ Mullins,4,2024-05-01 04:41:34,I haven't got or ordered anything yet but nice equipment and various items seems to be very reasonable on pricing! Thanks Alibaba. Wish I had the money to get some items I will one day for sure 😁,Alibaba
Ceria Desyanti Manullang,5,2024-05-01 03:32:56,"well this is very helpful app, I think I've been actively using it since 2020, it will be very helpful especially for people who are busy and don't have much time to shop directly, you can set the choice of store and budget range that you will allocate yourself, and the options pretty much.. eficient n simple",Shopee
Wulan,1,2024-05-01 03:30:10,The ads is very intrusif. Frustrating!,OLX
Vicky Yusuf,2,2024-05-01 03:30:09,"Previously it's really good and easy to used. Now it's so snaily on every pages and even crashed. Not only one time, but every times!",Tokopedia
Daniel Atteh,1,2024-05-01 03:07:30,The platform is really bad . I made a purchase and was logged out of my account by the app . I tried logging severally but still not coming . Please do something about this . I can't afford to loose my stuffs . I used alot of money for that . This is getting worse,Alibaba
gagah raka,1,2024-05-01 03:05:45,"This shopping app is very disappointing, they let sellers put in advertisements with empty items, cancel your order but don't immediately give the funds, they giving you a long grace period before you can order again with the money that they have not returned, The money you have purchased cannot be cashed back but must be purchased again from them with the same conditions & rules, very disappointing a waster of time and a scaming process",Zalora
Cristina Oñate Delos Santos,5,2024-05-01 03:05:01,"first and foremost there are a bunch of perks,bundles in this app also its not laggy and doesn't crash,the delivery service is great as well not to mention,you can find most of the products you want and need in the app,overall its has excellent service especially in my experience with it for a few years now",Lazada
M J,5,2024-05-01 02:54:55,"Hey Lazada I have a recommendation. first, your app is very helpful and very trusted app for fashion, you also added skin type to help skin care beginners to find product that could help them. Now, Color Analysis has been a talk right now and I was wondering you to add seasonal color for those who know what there seasons. It can be a really helpful for us by just clicking what season we are and thousands of clothes thats match will show up.",Lazada
Von Ryan Lopez,1,2024-05-01 02:47:31,I'll been using this for so many years. No more cash on delibery (COD). JUST DELETE THE APP. And upon reaching your team. Only chatbot will reply.,Lazada
蹦Ben,1,2024-05-01 01:20:58,"VERY LOUSY EXPERIENCES. Used to be GOOD BUT is becoming WORST. Lately I made an Order because of A Promised Free Gift BUT the moment I made My Payment, it was IMMEDIATELY CANCELLED. I tried MANY TIMES messaging the Seller and Lazada too but RECEIVED NO RESPONSE and My Order just simply delivered to me. NOW I have to trouble myself to arrange to return all items back. NEVER would I order from Lazada anymore. There's NO CUSTOMER SERVICE.",Lazada
Christa Grimaldo,3,2024-04-30 18:55:02,Looks like a great selection with great price. Except you have to submit an enquiry and wait for a response and etc before you can even set up a way to pay,Alibaba
Minnie Dorothy Iyannen,5,2024-04-30 18:26:38,I enjoyed scrolling through the different departments I need to fertilizer myself with Alababa and it's products. I'm new to this and would like to continue learning more.,Alibaba
Ross Kim,1,2024-04-30 16:17:07,"I used Lazada mall so many times. You(Lazada people) can check my shopping history. But this app is now annoying with a very intrusive pop up, even the app is not running. I am not returning unless the app change its popup issues",Lazada
Rovilyn Bugna,1,2024-04-30 14:51:00,They disabled/freeze my lazpaylater and cant even communicate with their loan provider which is atome. They kept on giving different answer while atome was consistent with their answers when asked about the disable/freezing of my lazpaylater. I was only late for 2 or 3 days but settled my bills but its been 2 months now and lazada customer service as well as their app is a mess.,Lazada
Agi Prayogo,5,2024-04-30 11:10:03,one of the best e commerce that i've used for a long time!,Blibli
Dhianada Faustina Malik,2,2024-04-30 11:05:47,Handling refund issues is very slow. It could be more than one month for the same reason. Progress is not visible and follow-up is rarely done.,Tokopedia
Hardriff31,2,2024-04-30 07:06:21,"Guys, the app is really good, BUT whole this time, users ask you to add the English language, why you didn't do that yet?! Stop ignoring us. Do you have any idea how many English-speaking expats use your app? Do an analysis and add English at last!...",Tokopedia
New Goggle,1,2024-04-30 06:26:32,It so poor when it comes to Costumer service they can't even accommodate their shoppers properly!!!!! And so many errors when it comes to their games task what A waste of time using Lazada!!!!,Lazada
Dias Christepher,5,2024-04-30 05:34:43,You can buy stuff that you have I actually have no words because it's very good very it's very very good do you have to try it,Alibaba
Art Victor,5,2024-04-30 05:24:41,"First time ko po mag on line shopping sa Lazada but I believe and they oh trust me to have a c.o.d. service they want to give us and me, and I personally, to have a convenient on line shopping in buying of any item/s of good/s na gusto ko at kailangan ko. Thank you Lazada and the sellers!🥰👍👍👍🥰🥰",Lazada
Scarpion Smith,4,2024-04-30 00:12:13,This is my daughter and she loves you guys she loves you guys so much she orders you guys all and she loves to shop all day so they can I get your phone can I get your phone please and I'll give it to her cuz she loves the shop and yeah I love to shop on there too but I'm just letting her shop on there I don't shop on their she does cuz she wanted to inspire this app and she said okay download this she loves it so much I'm like oh my God just do it and she's not ordering stuff for her birthday,Alibaba
Constantin Vorobyov,1,2024-04-29 22:13:03,Ffs hownold is this app. Search doesn't work k everything lags. Everything chinese do comes out as Chinese,Alibaba
Joey Hermosa,1,2024-04-29 20:47:41,"VERY UNRELIABLE & UNSECURED platform. I lost my investment because of this app. If you want to buy in this app, think of it, they care only for the sellers not for the buyers. You will pay for ""Trade assurance"", but very unuseful, trade assurance has no power over the sellers. They don't care even if the products you received is different from what you ordered and very poor quality. And also, it too long before the seller placed the order, about 3 months to received the product.",Alibaba
Lee Jia Zhe,1,2024-04-29 13:13:20,"Please don't cancel other people's coupons for no reason and cheat customers? Before binding the e-wallet, it said that you can enjoy a RM5 discount by using the e-wallet, but after I bound it, the RM5 discount was not displayed. What does that mean? play me? Or do you just want our customers to bind the e-wallet to your application?",Lazada
Dave Cadiente,1,2024-04-29 13:07:19,"the discount voucher is getting lower, and it is always lag! I hope you will fix your customer service also, lazada is my trusted app since day one, but this system during 2024 is not giving 🤌🤌😓😓😓😓",Lazada
Kars Magbanua-Nubla,3,2024-04-29 12:37:09,Refund option makes the app crash unexpectedly. Hope you can fix this.,Zalora
athena lee,2,2024-04-29 09:01:52,"It wont let me in the app while trying to verify my phone number. I had gotten 3 codes and double checked to see if it was correct, yes it is. Im trying to sign in, do you not want people using your app? Please fix this issue ASAP. Thanks",Tokopedia
Ayesha Nayla,5,2024-04-29 08:30:05,"Hi! really love what you do here, I just hope there is an option to turn off live video because it just makes the whole app really laggy and less navigable because of the pop ups. Another suggestion is to enable the option to be notified when an item is in stock again. Also, there has been too many duplicate products in which these sellers sets a much higher price for the same item and orders it from the original seller before shipping it (2 weeks ETA). This really dampens the experience.",Shopee
Samson junior Obiero,4,2024-04-29 08:23:50,I'm trying order and if they deliver in time and bring for the thing I ordered I'll rate it five. I'm just testing,Alibaba
Ahmed Mtende,4,2024-04-29 07:54:47,The interface is good. I would rate it five star after I've made an order and it has been delivered in time. Let's wait!,Alibaba
r miu (R Miu),1,2024-04-29 07:27:48,Very slow delivery by Ninja Van. Items from KL took more than 8 days to delivered in KK where flight only took 2 hours!!?? Avoid any e-commerce platform like a plague if their choosen delivery partners cannot deliver within 2 days from the date of order. Online shopping is all about the speed of orders getting delivered. Not holding sellers funds for turning it aroud with slow delivery partners!,Lazada
ani nurani,2,2024-04-29 06:30:45,"This market place suppose to be my main place to shop, but since they only keep my purchase data including chat only for several time, I decide to use it as minimally as posible, so frustrated to search in which shop Did I buy my laptop or other things more then 2 years ago. Meanwhile I can see whole my purchase since 1st I bought in other marketplace. Hufff, sooo helpless, make me headache",Tokopedia
Josoa Davidson,4,2024-04-29 04:56:49,"Great app, I like it but you should make an option where we can choose to not auto-play video. Something like data saver.",Alibaba
chalida faradilla,2,2024-04-29 02:41:25,"Why can't I use the PayLater option? I always pay on time, but the payment method isn't available for me on this app, but it is available on the other app,,",Tokopedia
Alyssa Mae Fababier,5,2024-04-29 01:50:49,iI like this app because aside of free shipping fee is it has a discount coupon that you can use if you order something... and you can also play a game to earn coins that you can use to get a discount...,Lazada
faith laude,1,2024-04-28 19:09:58,Not good not bad app. It is so annoying 2nd time that you deducted cash through my gcash without my permission or verification text to send code i didn't order anything to or add to cart but why???? Please refund the cash through gcash OMG!!!,Lazada
Francis Atendido,1,2024-04-28 16:22:03,"Whatever this useless platform offers is easily replicated in other platforms. Useless junk of an app this is. What's worse is their buy now pay later is the WORST OF ITS KIND suddenly suspending your account for a few months on a whim, for no reason, that even customer service are left scratching their heads. Go Filipino, go Shopee instead! Don't download this !",Lazada
ino zianka,5,2024-04-28 14:08:29,very nice good aplication for sell and buy all product,OLX
Charles Clement,4,2024-04-28 13:54:52,Very Good application for international market but for some few time it stucks,Alibaba
Andile Shabalala,1,2024-04-28 12:37:27,"This platform is the worst. I made a purchase, but the items I received were severely defective and unusable. Despite providing evidence of the issue, the mediation process was utterly ineffective. They only offered a $100 refund on my $3000 purchase, claiming they cannot force the supplier to refund if they don't want to. They insisted this was the best they could do it not from the supplier but from alibaba, threatening to close the case if I didn't accept.",Alibaba
Chimera Bearer,1,2024-04-28 11:10:00,"Wow, 10 minutes after using this app, I get overheating alert from my phone. Are you sure that this app isn't a virus?",Shopee
Rhythm Chong,1,2024-04-28 08:52:35,"Used to think Lazada is better than Shopee. But after the latest update, since Shopee's price always beat Lazada, I think will need to reconsider using Lazada.. main reason previously Lazada won is because when you compare things in your cart they have calculated the final price, including the shipping fees. But now, same as shopee you'll need to click to the payment page to know.",Lazada
hesti arum,1,2024-04-28 04:47:35,"Since 26 april 2024, i dont know why my shopee app crashed alot every 2 minute. It always back at preview when you open shopee for the first time. I have tried uninstall and install again, but it happens every time i'm on my account, so i should do login logout several time a days and it worked. But now, i do login logout but it still crashed every 1 minute. What should i do? I have clear caches too but it not worked. Shopee works perfectly when i'm not on my account",Shopee
yol,1,2024-04-28 02:57:24,This app is too laggy!!! i need to response the seller but it takes soo many LONG TIMES to send a single message! and it's not because there is something wrong with my phone or connection!!! it's just this app! and i really hate it!,Shopee
Victor,1,2024-04-27 23:51:41,It's not user friendly U can't just order in peace u would have to contact the seller The price written on them are not even the actual price This app is very bad and hear I am thinking it can replace jumia 😒,Alibaba
Josua Vertudez,5,2024-04-27 23:13:23,Excellent app. They remove the categories section which was a very helpful in choosing the best thing you want to buy. Incredible developers.,Lazada
Dewi Sudiastuti,1,2024-04-27 23:07:51,"The app has been lagging for a couple of days, it doesn't let me stay on a page more than 2 seconds, always go back to home page by default. I can't shop nor confirmed that I've received the product I already bought from before. Don't asked me to check on my WiFi connection because I did it more than a dozen times and it's stable, I used my mobile data and still the same thing. It's also the latest version, which might be the cause because I never had this problem before.",Shopee
Rose Regala,5,2024-04-27 17:56:48,"Because of you lazada I have a business now. With the coins and vouchers I collected everyday, I've got big discounts on the products and so I earned a lot by selling it to my neighbours and to my facebook friends. You earned my trust. All the products I ordered with you was so excellent and no damage and all were wrapped very well. Thank you so much and you are commendable.",Lazada
Sten24,1,2024-04-27 17:42:15,"the app is laggy and unresponsive, sometimes a menu takes forever to loads. the app also contains too much bloat like live videos, etc and there are no way to deactivate the features that we don't need",Shopee
Liezl Bautista,3,2024-04-27 16:17:20,"It's nice can be ordered but the thing that annoys me too much is not skipping notification, like we need to ignore it to just get out our faces?! And second one is that I don't even want product on one app and ad was Lazada, it still proceeded me to go to that product completely ruing somebody's gameplay and their relaxing, and the 3rd part that I turn off notifications, it still shows up when I open m phone, wha an Idiot",Lazada
Natasha Athalia Hariko,3,2024-04-27 14:50:19,The app is often sudden closed while browsing/ opening the app fitures.. i used S24. Please help to fix it!,Shopee
Jason Devadason (JD),1,2024-04-27 13:37:50,"Please redesign the app for tablets. Waste of screen real estate because everything so big, can only display so little at once.",Lazada
Hendriyana R,1,2024-04-27 13:16:18,"It's so slow and laggy af! Installed on a brand new phone and it's still the same. Make sparate apps if you want to add bunch of useless features. Also the searching and filtering fitures are trash, not working at all!",Shopee
Tengku Hafizuddin,5,2024-04-27 12:54:42,"Okey, blh combine voucher. Free shipping berbanding shopee. Byk pilihan barangan. Paylater yang diberikan pun mudah (limit 10k) padu Surf app x ada masalah, senang navigate menu dlm app.",Lazada
Tal Mansour,1,2024-04-27 11:22:27,"Baaaaaad. When you put an add for some items on Facebook, if someone pushes the link it takes him to alababa general site where he or she will struggle to find that specific item. Why not lead directly to the item itself?",Alibaba
Muhammad Ishaq,1,2024-04-27 10:49:08,"Bad UI, Bad Customer Service, app is so slow and heavy, the only good of this is the price everything is worst",Shopee
Donny Maulana,1,2024-04-27 10:25:14,"ads so horrible when open photos detail, and auto filtering is so terrible when I search ""honda tiger"" but shows mercedes tiger",OLX
Trending Vids,5,2024-04-27 10:13:27,Good interface and smooth communication with sellers. Also some products has low MOQ which is suitable for test running a product before bulk buying.,Alibaba
Jedee,1,2024-04-27 07:45:51,"Courier, Flash Express whome they're partner with never attempted deliveries or my packages. Sent various complaint to Lazadachat agents no help at all. Your help center doesn't help at all.",Lazada
Agus Indiarto,3,2024-04-27 03:45:38,"Original items, but it is not possible to discuss about the product that we need to buy. Complaint center is not user friendly.",Zalora
Tina Melfi,5,2024-04-27 03:45:29,I'm really loving this app. It's optionals are are the best for what you receive and best prices.,Alibaba
